Code,Omschrijving,Familienaam,Familie,Voorraad Begin,Commentaar,Cat. 1,Cat. 2,Cat. 3,"Prijs
Verlies of
kapot",,Invulsheet,,,,,
1519,Vestaire planken,Allerlei,16,120,,- € ,1.00 € ,2.50 € ,200.00 € ,,Err:508,,,,,
1520,Vissers touw,Allerlei,16,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1521,Zeepkist - Go cart,Zeepkist materiaal,13,1,,- € ,,,,,Err:508,,,,,
1522,Zeepkist - Jump,Zeepkist materiaal,13,2,,- € ,,,,,Err:508,,,,,
1523,Zeepkist - Jump oprijplaat,Zeepkist materiaal,13,2,,,,,,,Err:508,,,,,
1524,Dagklappers,Allerlei,16,28,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1525,Riet,Allerlei,16,5,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1526,Houten palen,Allerlei,16,36,,- € ,- € ,- € ,- € ,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
,,,#N/A,,,,,,,,Err:508,,,,,
