Code,Omschrijving,Familienaam,Familie,Voorraad Begin,Commentaar,Cat. 1,Cat. 2,Cat. 3,"Prijs
Verlies of
kapot",,Invulsheet,,,,,
256,Koffiekan voor 12 kopjes,Eetmateriaal,2,8,,- € ,- € ,- € ,- € ,,Err:508,,,,,
257,Koffiekop,Eetmateriaal,2,108,,- € ,- € ,- € ,- € ,,Err:508,,,,,
258,Onderbord voor koffiekopje,Eetmateriaal,2,259,,- € ,- € ,- € ,- € ,,Err:508,,,,,
259,Platte borden,Eetmateriaal,2,87,,- € ,- € ,- € ,- € ,,Err:508,,,,,
260,Koffie mok,Eetmateriaal,2,20,,,,,,,Err:508,,,,,
261,Soepborden,Eetmateriaal,2,126,,- € ,- € ,- € ,- € ,,Err:508,,,,,
262,Melk kan,Eetmateriaal,2,9,,,,,,,Err:508,,,,,
263,Koffielepel,Eetmateriaal,2,53,,- € ,- € ,- € ,- € ,,Err:508,,,,,
264,Lepel,Eetmateriaal,2,83,,- € ,- € ,- € ,- € ,,Err:508,,,,,
265,Mes,Eetmateriaal,2,44,,- € ,- € ,- € ,- € ,,Err:508,,,,,
266,Vork,Eetmateriaal,2,95,,- € ,- € ,- € ,- € ,,Err:508,,,,,
267,Soepkommen,Eetmateriaal,2,23,,,,,,,Err:508,,,,,
268,Saus potjes (3 soorten),Eetmateriaal,2,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
269,Rietjes,Eetmateriaal,2,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
270,Frietbakken (karton),Eetmateriaal,2,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
271,Frikadelbakken (plastiek),Eetmateriaal,2,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
272,Stoofvleesbakken (plastiek),Eetmateriaal,2,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
273,Pastaborden (isomo),Eetmateriaal,2,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
274,Roerstaafjes,Eetmateriaal,2,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
275,Bestek (plastiek),Eetmateriaal,2,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
276,Kartonnen borden,Eetmateriaal,2,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
277,Servetten,Eetmateriaal,2,300,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
300,Klimgordel half harnas,Klimmateriaal,3,13,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
301,Klimgordel vol harnas,Klimmateriaal,3,13,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
302,Plunger zakken,Klimmateriaal,3,2,,,,,,,Err:508,,,,,
303,Klettersteiger,Klimmateriaal,3,10,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
304,Werpkoord,Klimmateriaal,3,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
305,Klimtouw klein assortiment,Klimmateriaal,3,23,,,,,,,Err:508,,,,,
306,Achtring,Klimmateriaal,3,23,,- € ,- € ,- € ,- € ,,Err:508,,,,,
307,Musceton HMS,Klimmateriaal,3,20,,- € ,- € ,- € ,- € ,,Err:508,,,,,
308,Musceton OK Staal,Klimmateriaal,3,14,,- € ,- € ,- € ,- € ,,Err:508,,,,,
309,Musceton OK Aluminium,Klimmateriaal,3,28,,- € ,- € ,- € ,- € ,,Err:508,,,,,
310,Katrol beveiliging enkel,Klimmateriaal,3,5,,- € ,- € ,- € ,- € ,,Err:508,,,,,
311,Katrol beveiliging dubbel,Klimmateriaal,3,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
312,Tamtam P16 (Hamer),Klimmateriaal,3,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
313,Boorhandvat + adapter,Klimmateriaal,3,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
314,Halfrond (verankering),Klimmateriaal,3,10,,- € ,- € ,- € ,- € ,,Err:508,,,,,
315,Coudee P04 (verankering),Klimmateriaal,3,14,,- € ,- € ,- € ,- € ,,Err:508,,,,,
316,Vrilee P13 (verankering),Klimmateriaal,3,20,,- € ,- € ,- € ,- € ,,Err:508,,,,,
317,Bandlussen,Klimmateriaal,3,7,,- € ,- € ,- € ,- € ,,Err:508,,,,,
318,Cordelet met musceton,Klimmateriaal,3,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
319,Croll,Klimmateriaal,3,13,,- € ,- € ,- € ,- € ,,Err:508,,,,,
320,Gri-Gri,Klimmateriaal,3,4,,- € ,- € ,- € ,- € ,,Err:508,,,,,
321,Stops,Klimmateriaal,3,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
322,Apen,Klimmateriaal,3,13,,- € ,- € ,- € ,- € ,,Err:508,,,,,
